date,T,PM,MDLZ,MS,UNH,USB,PANW,LRCX,PG,AMD,MRK,ACN,MU,AMZN,WMT,INTU,ABNB,GOOGL,GS,HCA,UNP,CRM,JNJ,CL,ABT,ABBV,UPS,SO,NKE,AMAT,CSCO,CSX,HON,MSFT,INTC,BK,COP,SPGI,NEE,ELV,ADP,TGT,NVDA,V,BKNG,BLK,LLY,SBUX,AMGN,QCOM,PLD,MA,EQIX,KO,REGN,LMT,LOW,MO,DIS,DUK,TSLA,GE,AVGO,ISRG,TMO,CAT,CB,PEP,META,MDT,EOG,ADI,TXN,CVX,BAC,NSC,DE,XOM,ORCL,AAPL,JPM,PFE,NOW,BMY,C,KMB,ADBE,MCD,RTX,VRTX,COST,PGR,OXY,GOOG,AXP,HD,IBM,DHR,LIN,CCI
2020-12-10,20.195500,76.450800,54.673600,60.799300,317.160000,43.024300,51.311500,46.979500,128.982000,91.660000,72.894100,239.876000,70.720000,155.074000,46.789700,358.338000,144.710000,88.063300,234.004000,158.507000,194.281000,222.920000,144.705000,80.745900,103.162000,98.722700,155.639000,55.851300,135.089000,86.468300,41.747000,29.304500,181.507000,203.504000,45.169500,39.033700,41.007400,320.411000,70.365800,306.763000,165.644000,166.540000,12.939800,201.301000,2104.870000,628.752000,156.462000,101.267000,214.545000,149.694000,92.345100,327.977000,664.185000,49.950800,478.980000,336.123000,155.080000,36.949700,154.690000,84.932400,209.023000,71.375600,37.006200,252.690000,466.551000,171.155000,147.799000,136.895000,277.120000,107.420000,47.992100,136.393000,153.931000,85.616500,27.911000,229.307000,247.578000,39.878600,57.578200,120.378000,113.727000,38.894800,538.000000,56.592900,56.438900,125.052000,476.870000,198.920000,70.008200,224.040000,367.511000,87.917900,21.103300,88.766500,118.889000,253.030000,113.344000,221.736000,243.573000,145.828000
2020-12-11,20.407000,76.477200,54.885000,59.741600,314.756000,42.763000,51.655000,47.128900,129.929000,91.650000,72.868200,239.549000,69.976100,155.821000,46.776300,360.142000,139.250000,88.419500,229.800000,154.361000,194.802000,222.420000,145.373000,80.831700,103.648000,97.673200,159.568000,55.777400,134.921000,86.870300,41.747000,29.444200,183.770000,206.131000,44.692800,37.977300,40.522400,319.408000,70.863100,304.470000,167.113000,165.882000,12.980700,199.974000,2089.210000,625.860000,155.520000,98.969100,213.811000,138.674000,92.526400,323.930000,665.999000,50.233700,479.770000,342.108000,152.766000,36.992900,175.720000,84.728400,203.330000,70.370500,36.625100,253.330000,469.197000,171.589000,147.859000,137.189000,273.550000,107.125000,47.044100,136.264000,152.600000,84.791400,27.393600,228.099000,249.871000,39.689000,58.671600,119.571000,113.069000,38.325900,537.360000,57.082800,54.974400,126.864000,475.910000,198.664000,69.920800,224.170000,369.793000,88.096600,20.687700,89.088500,117.311000,252.785000,112.719000,222.275000,242.070000,146.266000
2020-12-14,20.104000,75.938700,54.778300,58.383800,313.873000,41.801900,52.380000,47.145600,129.307000,94.780000,71.106800,237.545000,70.977900,157.848000,46.340300,361.317000,130.000000,87.296600,227.683000,157.605000,189.939000,221.270000,141.685000,80.364700,103.420000,95.706800,157.871000,55.074700,133.829000,87.067800,41.671400,28.952900,181.404000,207.048000,45.358600,37.590200,39.440100,318.276000,70.624800,303.190000,166.749000,165.173000,13.275200,200.960000,2066.010000,615.702000,153.450000,99.273600,215.767000,140.610000,92.050200,327.608000,667.123000,50.158400,500.380000,338.281000,154.952000,36.906500,169.300000,84.349300,213.277000,68.285000,37.164000,254.930000,465.163000,170.405000,145.102000,136.474000,274.190000,106.731000,45.711000,137.388000,152.137000,82.031200,27.056700,222.280000,246.882000,38.256400,58.818200,118.949000,111.861000,36.546900,532.480000,56.377100,54.797300,126.864000,486.420000,202.628000,67.917400,228.130000,369.076000,87.824100,18.983800,88.003000,114.523000,253.756000,112.055000,219.630000,240.319000,145.177000
2020-12-15,20.123800,75.838400,54.933400,60.337200,317.178000,42.157100,52.908500,47.476200,130.067000,97.120000,71.247500,240.759000,72.574500,158.256000,46.317000,356.275000,124.800000,87.735900,232.122000,157.693000,192.149000,220.150000,143.106000,80.898900,104.074000,94.434800,158.408000,56.181700,136.885000,87.038100,42.123100,29.374800,183.391000,206.980000,45.534300,37.929100,39.889400,318.435000,71.929300,306.237000,169.244000,165.586000,13.327100,202.035000,2098.050000,628.539000,162.701000,100.108000,216.764000,142.596000,94.596200,330.080000,672.546000,50.694700,491.790000,338.193000,158.087000,36.286600,173.940000,85.257200,211.083000,70.054400,37.729000,256.160000,469.007000,173.936000,148.490000,136.994000,275.550000,109.536000,46.658300,139.075000,154.286000,81.966700,27.459400,222.814000,255.929000,38.998500,59.882000,124.901000,113.777000,36.080300,527.380000,58.822400,55.664600,126.698000,482.640000,205.461000,68.146300,228.810000,366.614000,90.243000,19.647900,88.388500,116.219000,256.053000,114.232000,221.696000,244.266000,145.390000
2020-12-16,19.932800,77.045700,54.693400,60.601100,316.874000,42.305900,53.888500,47.285300,130.659000,96.850000,70.673700,241.146000,72.416100,162.048000,46.272000,365.014000,137.990000,87.542200,233.415000,158.279000,190.764000,223.620000,142.254000,81.175400,103.965000,96.106000,161.216000,55.786100,135.843000,87.117500,42.123100,29.011300,180.080000,211.962000,45.941700,38.174800,39.440100,315.526000,71.478400,303.329000,169.096000,165.862000,13.209300,201.947000,2098.710000,628.716000,167.200000,99.224100,214.800000,143.912000,94.881400,328.556000,667.281000,49.959700,486.570000,335.348000,157.958000,37.078200,173.120000,83.868300,207.590000,68.917000,38.345000,255.350000,455.868000,171.787000,148.263000,137.112000,275.670000,109.616000,46.254500,137.842000,154.039000,81.342500,27.535900,221.746000,255.085000,39.598500,60.773400,124.834000,114.120000,35.269400,545.000000,58.605500,55.739000,126.874000,489.900000,204.428000,67.695300,232.110000,364.213000,89.933500,19.261200,88.150000,116.121000,257.594000,113.880000,220.428000,242.782000,144.176000
2020-12-17,19.492200,77.080800,55.390800,61.016100,319.048000,42.239400,55.233500,46.604900,131.596000,96.840000,70.664300,257.723000,71.692000,161.804000,46.486300,375.956000,147.050000,86.711100,234.032000,161.404000,193.967000,225.920000,146.000000,81.767800,105.353000,96.336400,165.340000,56.376000,137.966000,86.085200,42.218300,29.483800,181.481000,212.097000,45.521300,38.138400,39.114300,315.714000,72.074100,307.080000,170.773000,165.419000,13.308100,204.751000,2113.430000,635.590000,167.754000,99.165800,217.428000,143.706000,96.134900,333.300000,689.073000,50.158400,496.210000,333.483000,158.294000,36.992900,173.550000,84.709900,218.633000,68.601000,38.453600,259.930000,462.977000,171.471000,148.293000,137.877000,274.480000,109.950000,45.771900,138.799000,154.572000,81.086000,27.642000,223.676000,258.412000,39.399100,61.576700,125.711000,113.158000,35.448000,554.070000,58.793800,56.019900,127.156000,495.360000,204.870000,67.763100,236.920000,365.040000,89.886600,18.993800,87.395000,116.101000,261.774000,113.880000,222.983000,249.081000,145.702000
2020-12-18,19.346500,77.458600,55.764200,60.554100,315.971000,41.848800,59.255000,46.101500,132.346000,95.920000,70.406900,259.459000,70.898300,160.082000,46.438300,375.746000,157.300000,85.999300,231.838000,160.997000,195.324000,227.430000,146.853000,82.025500,105.541000,95.932400,165.993000,55.516900,134.802000,84.696600,42.801600,29.518400,179.845000,211.286000,42.652900,38.496100,38.191300,317.114000,71.545400,301.762000,172.617000,164.622000,13.239300,204.879000,2099.650000,629.113000,166.565000,99.234000,214.848000,141.692000,93.735800,336.700000,686.175000,50.599700,498.890000,336.730000,157.958000,37.664400,172.890000,83.600900,231.667000,68.222400,39.553000,263.030000,464.714000,173.177000,147.275000,139.043000,276.400000,111.269000,45.436500,139.548000,155.882000,79.966200,27.487800,225.329000,264.440000,38.719400,62.980100,123.729000,112.617000,35.121000,565.430000,59.338800,55.095800,125.998000,502.950000,205.658000,67.312100,236.720000,361.811000,90.485600,18.341700,86.550500,114.671000,258.418000,114.154000,224.580000,250.109000,143.904000
2020-12-21,19.090400,75.731300,55.151800,63.998700,313.826000,42.287300,59.336500,46.317600,130.905000,93.230000,70.194100,254.757000,70.908300,160.309000,46.445000,371.611000,163.020000,86.414800,246.058000,159.757000,194.253000,226.470000,145.440000,81.433200,104.698000,95.249800,163.536000,55.388700,141.417000,85.012200,42.274300,29.202500,180.368000,215.164000,41.664200,39.089700,37.503300,314.255000,71.441000,299.548000,170.921000,165.929000,13.299100,202.662000,2068.200000,629.141000,164.019000,98.909800,213.734000,141.101000,92.950700,330.798000,681.017000,49.724800,496.740000,330.403000,159.046000,36.943000,170.690000,82.470600,216.620000,67.969000,39.034800,263.090000,460.930000,172.427000,146.682000,137.601000,272.790000,109.664000,43.954500,137.645000,154.334000,78.957700,28.515000,223.132000,261.560000,38.012400,62.417500,125.248000,116.832000,34.840900,550.820000,58.295100,57.119200,125.228000,498.390000,202.402000,66.832600,234.550000,359.788000,91.410000,17.299800,86.968500,113.589000,258.928000,111.919000,224.630000,246.698000,143.368000
2020-12-22,18.689400,75.019500,54.653900,62.876200,312.828000,42.530100,62.010000,45.715300,129.968000,93.160000,70.309800,252.853000,69.886400,160.326000,45.884300,375.606000,163.190000,85.700300,239.453000,159.935000,193.329000,231.170000,145.146000,80.564200,104.887000,94.416200,165.409000,55.130100,139.889000,84.254700,42.094600,29.156800,178.050000,216.463000,41.493700,38.014700,36.375500,313.609000,71.736300,296.541000,169.826000,166.491000,13.245200,199.583000,2052.820000,624.342000,162.029000,98.419300,207.799000,140.660000,93.333000,328.695000,689.753000,49.676800,490.060000,329.059000,159.323000,36.606200,170.450000,82.869100,213.447000,66.957500,39.418900,271.750000,463.236000,168.994000,145.161000,136.278000,267.090000,109.832000,42.876200,139.283000,154.414000,77.371700,28.006400,223.488000,263.030000,37.368600,63.068300,128.815000,115.044000,34.244700,561.720000,57.751000,55.281900,123.748000,504.170000,202.628000,66.428900,234.900000,356.919000,91.456000,16.756100,86.175000,111.783000,258.025000,112.133000,221.456000,246.006000,143.592000
2020-12-23,18.919100,75.028300,54.835700,64.356800,315.229000,43.593900,60.803500,45.158100,129.781000,91.550000,70.610700,250.878000,69.400400,159.264000,45.568000,372.597000,158.010000,86.099300,245.549000,162.504000,192.995000,227.430000,144.402000,80.592800,104.074000,94.859500,163.585000,54.817200,139.215000,82.670600,41.799000,29.196500,179.801000,213.641000,41.853200,38.675000,37.351600,308.407000,71.372000,301.474000,168.711000,168.979000,12.976700,199.055000,2100.850000,633.464000,160.800000,98.075600,209.617000,141.248000,91.937400,325.714000,679.745000,49.979200,492.190000,332.541000,157.207000,36.881500,173.550000,82.416200,215.327000,68.537600,38.723400,269.880000,456.417000,170.760000,146.021000,136.651000,268.110000,109.162000,43.954500,138.257000,152.955000,78.592000,28.811700,226.021000,261.749000,37.848000,63.211900,127.908000,118.266000,34.897500,550.060000,57.345900,56.699200,124.536000,496.910000,202.726000,67.839700,235.840000,356.779000,91.007700,17.716400,86.619000,114.115000,257.799000,112.397000,219.101000,247.617000,142.640000
