date,HON,VRTX,PLD,DUK,GS,GOOGL,AVGO,MS,AMD,JPM,SPGI,CL,SBUX,IBM,REGN,PM,ABT,META,CCI,JNJ,ABBV,MSFT,LRCX,DE,QCOM,AMZN,TGT,MO,CVX,LIN,MU,ADBE,AAPL,LOW,NOW,NKE,KO,C,UPS,UNH,PG,CRM,HD,MRK,COST,V,LMT,COP,ABNB,PGR,NVDA,TSLA,ADP,EOG,PANW,BK,XOM,NEE,AXP,GE,INTU,ORCL,RTX,HCA,CSCO,CAT,INTC,ISRG,PFE,DIS,BAC,NSC,UNP,PEP,TXN,SO,ADI,AMGN,MDLZ,ACN,MCD,LLY,GOOG,WMT,USB,BLK,BKNG,CB,BMY,AMAT,T,MA,CSX,MDT,ELV,TMO,KMB,OXY,EQIX,DHR
2020-12-10,181.507000,224.040000,92.345100,84.932400,234.004000,88.063300,37.006200,60.799300,91.660000,113.727000,320.411000,80.745900,101.267000,113.344000,478.980000,76.450800,103.162000,277.120000,145.828000,144.705000,98.722700,203.504000,46.979500,247.578000,149.694000,155.074000,166.540000,36.949700,85.616500,243.573000,70.720000,476.870000,120.378000,155.080000,538.000000,135.089000,49.950800,56.438900,155.639000,317.160000,128.982000,222.920000,253.030000,72.894100,367.511000,201.301000,336.123000,41.007400,144.710000,87.917900,12.939800,209.023000,165.644000,47.992100,51.311500,39.033700,39.878600,70.365800,118.889000,71.375600,358.338000,57.578200,70.008200,158.507000,41.747000,171.155000,45.169500,252.690000,38.894800,154.690000,27.911000,229.307000,194.281000,136.895000,153.931000,55.851300,136.393000,214.545000,54.673600,239.876000,198.920000,156.462000,88.766500,46.789700,43.024300,628.752000,2104.870000,147.799000,56.592900,86.468300,20.195500,327.977000,29.304500,107.420000,306.763000,466.551000,125.052000,21.103300,664.185000,221.736000
2020-12-11,183.770000,224.170000,92.526400,84.728400,229.800000,88.419500,36.625100,59.741600,91.650000,113.069000,319.408000,80.831700,98.969100,112.719000,479.770000,76.477200,103.648000,273.550000,146.266000,145.373000,97.673200,206.131000,47.128900,249.871000,138.674000,155.821000,165.882000,36.992900,84.791400,242.070000,69.976100,475.910000,119.571000,152.766000,537.360000,134.921000,50.233700,54.974400,159.568000,314.756000,129.929000,222.420000,252.785000,72.868200,369.793000,199.974000,342.108000,40.522400,139.250000,88.096600,12.980700,203.330000,167.113000,47.044100,51.655000,37.977300,39.689000,70.863100,117.311000,70.370500,360.142000,58.671600,69.920800,154.361000,41.747000,171.589000,44.692800,253.330000,38.325900,175.720000,27.393600,228.099000,194.802000,137.189000,152.600000,55.777400,136.264000,213.811000,54.885000,239.549000,198.664000,155.520000,89.088500,46.776300,42.763000,625.860000,2089.210000,147.859000,57.082800,86.870300,20.407000,323.930000,29.444200,107.125000,304.470000,469.197000,126.864000,20.687700,665.999000,222.275000
2020-12-14,181.404000,228.130000,92.050200,84.349300,227.683000,87.296600,37.164000,58.383800,94.780000,111.861000,318.276000,80.364700,99.273600,112.055000,500.380000,75.938700,103.420000,274.190000,145.177000,141.685000,95.706800,207.048000,47.145600,246.882000,140.610000,157.848000,165.173000,36.906500,82.031200,240.319000,70.977900,486.420000,118.949000,154.952000,532.480000,133.829000,50.158400,54.797300,157.871000,313.873000,129.307000,221.270000,253.756000,71.106800,369.076000,200.960000,338.281000,39.440100,130.000000,87.824100,13.275200,213.277000,166.749000,45.711000,52.380000,37.590200,38.256400,70.624800,114.523000,68.285000,361.317000,58.818200,67.917400,157.605000,41.671400,170.405000,45.358600,254.930000,36.546900,169.300000,27.056700,222.280000,189.939000,136.474000,152.137000,55.074700,137.388000,215.767000,54.778300,237.545000,202.628000,153.450000,88.003000,46.340300,41.801900,615.702000,2066.010000,145.102000,56.377100,87.067800,20.104000,327.608000,28.952900,106.731000,303.190000,465.163000,126.864000,18.983800,667.123000,219.630000
2020-12-15,183.391000,228.810000,94.596200,85.257200,232.122000,87.735900,37.729000,60.337200,97.120000,113.777000,318.435000,80.898900,100.108000,114.232000,491.790000,75.838400,104.074000,275.550000,145.390000,143.106000,94.434800,206.980000,47.476200,255.929000,142.596000,158.256000,165.586000,36.286600,81.966700,244.266000,72.574500,482.640000,124.901000,158.087000,527.380000,136.885000,50.694700,55.664600,158.408000,317.178000,130.067000,220.150000,256.053000,71.247500,366.614000,202.035000,338.193000,39.889400,124.800000,90.243000,13.327100,211.083000,169.244000,46.658300,52.908500,37.929100,38.998500,71.929300,116.219000,70.054400,356.275000,59.882000,68.146300,157.693000,42.123100,173.936000,45.534300,256.160000,36.080300,173.940000,27.459400,222.814000,192.149000,136.994000,154.286000,56.181700,139.075000,216.764000,54.933400,240.759000,205.461000,162.701000,88.388500,46.317000,42.157100,628.539000,2098.050000,148.490000,58.822400,87.038100,20.123800,330.080000,29.374800,109.536000,306.237000,469.007000,126.698000,19.647900,672.546000,221.696000
2020-12-16,180.080000,232.110000,94.881400,83.868300,233.415000,87.542200,38.345000,60.601100,96.850000,114.120000,315.526000,81.175400,99.224100,113.880000,486.570000,77.045700,103.965000,275.670000,144.176000,142.254000,96.106000,211.962000,47.285300,255.085000,143.912000,162.048000,165.862000,37.078200,81.342500,242.782000,72.416100,489.900000,124.834000,157.958000,545.000000,135.843000,49.959700,55.739000,161.216000,316.874000,130.659000,223.620000,257.594000,70.673700,364.213000,201.947000,335.348000,39.440100,137.990000,89.933500,13.209300,207.590000,169.096000,46.254500,53.888500,38.174800,39.598500,71.478400,116.121000,68.917000,365.014000,60.773400,67.695300,158.279000,42.123100,171.787000,45.941700,255.350000,35.269400,173.120000,27.535900,221.746000,190.764000,137.112000,154.039000,55.786100,137.842000,214.800000,54.693400,241.146000,204.428000,167.200000,88.150000,46.272000,42.305900,628.716000,2098.710000,148.263000,58.605500,87.117500,19.932800,328.556000,29.011300,109.616000,303.329000,455.868000,126.874000,19.261200,667.281000,220.428000
2020-12-17,181.481000,236.920000,96.134900,84.709900,234.032000,86.711100,38.453600,61.016100,96.840000,113.158000,315.714000,81.767800,99.165800,113.880000,496.210000,77.080800,105.353000,274.480000,145.702000,146.000000,96.336400,212.097000,46.604900,258.412000,143.706000,161.804000,165.419000,36.992900,81.086000,249.081000,71.692000,495.360000,125.711000,158.294000,554.070000,137.966000,50.158400,56.019900,165.340000,319.048000,131.596000,225.920000,261.774000,70.664300,365.040000,204.751000,333.483000,39.114300,147.050000,89.886600,13.308100,218.633000,170.773000,45.771900,55.233500,38.138400,39.399100,72.074100,116.101000,68.601000,375.956000,61.576700,67.763100,161.404000,42.218300,171.471000,45.521300,259.930000,35.448000,173.550000,27.642000,223.676000,193.967000,137.877000,154.572000,56.376000,138.799000,217.428000,55.390800,257.723000,204.870000,167.754000,87.395000,46.486300,42.239400,635.590000,2113.430000,148.293000,58.793800,86.085200,19.492200,333.300000,29.483800,109.950000,307.080000,462.977000,127.156000,18.993800,689.073000,222.983000
2020-12-18,179.845000,236.720000,93.735800,83.600900,231.838000,85.999300,39.553000,60.554100,95.920000,112.617000,317.114000,82.025500,99.234000,114.154000,498.890000,77.458600,105.541000,276.400000,143.904000,146.853000,95.932400,211.286000,46.101500,264.440000,141.692000,160.082000,164.622000,37.664400,79.966200,250.109000,70.898300,502.950000,123.729000,157.958000,565.430000,134.802000,50.599700,55.095800,165.993000,315.971000,132.346000,227.430000,258.418000,70.406900,361.811000,204.879000,336.730000,38.191300,157.300000,90.485600,13.239300,231.667000,172.617000,45.436500,59.255000,38.496100,38.719400,71.545400,114.671000,68.222400,375.746000,62.980100,67.312100,160.997000,42.801600,173.177000,42.652900,263.030000,35.121000,172.890000,27.487800,225.329000,195.324000,139.043000,155.882000,55.516900,139.548000,214.848000,55.764200,259.459000,205.658000,166.565000,86.550500,46.438300,41.848800,629.113000,2099.650000,147.275000,59.338800,84.696600,19.346500,336.700000,29.518400,111.269000,301.762000,464.714000,125.998000,18.341700,686.175000,224.580000
2020-12-21,180.368000,234.550000,92.950700,82.470600,246.058000,86.414800,39.034800,63.998700,93.230000,116.832000,314.255000,81.433200,98.909800,111.919000,496.740000,75.731300,104.698000,272.790000,143.368000,145.440000,95.249800,215.164000,46.317600,261.560000,141.101000,160.309000,165.929000,36.943000,78.957700,246.698000,70.908300,498.390000,125.248000,159.046000,550.820000,141.417000,49.724800,57.119200,163.536000,313.826000,130.905000,226.470000,258.928000,70.194100,359.788000,202.662000,330.403000,37.503300,163.020000,91.410000,13.299100,216.620000,170.921000,43.954500,59.336500,39.089700,38.012400,71.441000,113.589000,67.969000,371.611000,62.417500,66.832600,159.757000,42.274300,172.427000,41.664200,263.090000,34.840900,170.690000,28.515000,223.132000,194.253000,137.601000,154.334000,55.388700,137.645000,213.734000,55.151800,254.757000,202.402000,164.019000,86.968500,46.445000,42.287300,629.141000,2068.200000,146.682000,58.295100,85.012200,19.090400,330.798000,29.202500,109.664000,299.548000,460.930000,125.228000,17.299800,681.017000,224.630000
2020-12-22,178.050000,234.900000,93.333000,82.869100,239.453000,85.700300,39.418900,62.876200,93.160000,115.044000,313.609000,80.564200,98.419300,112.133000,490.060000,75.019500,104.887000,267.090000,143.592000,145.146000,94.416200,216.463000,45.715300,263.030000,140.660000,160.326000,166.491000,36.606200,77.371700,246.006000,69.886400,504.170000,128.815000,159.323000,561.720000,139.889000,49.676800,55.281900,165.409000,312.828000,129.968000,231.170000,258.025000,70.309800,356.919000,199.583000,329.059000,36.375500,163.190000,91.456000,13.245200,213.447000,169.826000,42.876200,62.010000,38.014700,37.368600,71.736300,111.783000,66.957500,375.606000,63.068300,66.428900,159.935000,42.094600,168.994000,41.493700,271.750000,34.244700,170.450000,28.006400,223.488000,193.329000,136.278000,154.414000,55.130100,139.283000,207.799000,54.653900,252.853000,202.628000,162.029000,86.175000,45.884300,42.530100,624.342000,2052.820000,145.161000,57.751000,84.254700,18.689400,328.695000,29.156800,109.832000,296.541000,463.236000,123.748000,16.756100,689.753000,221.456000
2020-12-23,179.801000,235.840000,91.937400,82.416200,245.549000,86.099300,38.723400,64.356800,91.550000,118.266000,308.407000,80.592800,98.075600,112.397000,492.190000,75.028300,104.074000,268.110000,142.640000,144.402000,94.859500,213.641000,45.158100,261.749000,141.248000,159.264000,168.979000,36.881500,78.592000,247.617000,69.400400,496.910000,127.908000,157.207000,550.060000,139.215000,49.979200,56.699200,163.585000,315.229000,129.781000,227.430000,257.799000,70.610700,356.779000,199.055000,332.541000,37.351600,158.010000,91.007700,12.976700,215.327000,168.711000,43.954500,60.803500,38.675000,37.848000,71.372000,114.115000,68.537600,372.597000,63.211900,67.839700,162.504000,41.799000,170.760000,41.853200,269.880000,34.897500,173.550000,28.811700,226.021000,192.995000,136.651000,152.955000,54.817200,138.257000,209.617000,54.835700,250.878000,202.726000,160.800000,86.619000,45.568000,43.593900,633.464000,2100.850000,146.021000,57.345900,82.670600,18.919100,325.714000,29.196500,109.162000,301.474000,456.417000,124.536000,17.716400,679.745000,219.101000
2020-12-24,179.414000,234.460000,92.942000,82.999400,245.265000,86.394800,39.269900,64.243000,91.810000,117.765000,311.305000,81.175400,98.026500,113.109000,488.930000,75.310600,104.946000,267.400000,144.069000,144.921000,94.839900,215.322000,46.041400,262.980000,143.008000,158.634000,169.226000,36.626400,78.262300,249.071000,70.024900,499.860000,128.904000,157.543000,553.890000,139.055000,50.317800,56.503500,163.156000,318.222000,131.083000,225.780000,258.870000,70.946600,359.400000,202.359000,332.884000,36.803700,154.840000,91.754400,12.960700,220.590000,170.043000,43.532600,61.190000,38.732000,37.694400,71.997300,114.513000,67.211000,376.782000,62.882100,67.408400,160.897000,41.955200,171.845000,42.302700,269.000000,34.737500,173.730000,28.726200,227.258000,195.127000,137.279000,153.585000,55.204900,139.460000,209.607000,55.313700,250.739000,202.136000,161.969000,86.942500,45.659300,43.368800,636.644000,2088.350000,145.804000,57.486800,83.949100,18.879700,332.414000,29.321300,109.252000,301.791000,456.167000,124.887000,17.498600,682.506000,220.199000
2020-12-28,179.756000,232.470000,93.878800,83.535800,248.547000,88.377600,39.308500,64.205600,91.600000,118.522000,312.745000,81.527900,100.265000,113.217000,482.960000,75.293100,104.401000,277.000000,146.177000,145.607000,95.011400,217.441000,45.633600,261.322000,141.997000,164.198000,170.395000,36.416300,77.868300,252.383000,70.104500,498.950000,133.525000,156.831000,543.740000,139.869000,50.996100,57.025300,162.376000,323.050000,131.990000,224.640000,257.260000,71.222500,365.797000,206.169000,334.974000,36.626900,149.000000,91.577800,12.867800,221.230000,170.092000,42.956000,60.246500,39.109300,37.822700,72.486600,115.505000,67.147600,376.742000,62.797900,67.753300,160.659000,42.312600,170.721000,42.302700,268.390000,34.319800,178.860000,28.888100,229.514000,197.297000,139.023000,153.418000,55.380900,139.657000,210.302000,55.716700,253.061000,204.644000,161.810000,88.804500,46.203700,43.527400,639.343000,2137.920000,146.811000,57.458200,83.496500,18.787400,340.797000,29.512500,110.285000,305.910000,458.784000,124.945000,17.231400,686.312000,221.456000
2020-12-29,179.064000,233.490000,93.399600,83.174400,247.029000,87.570500,39.049000,63.883900,90.620000,118.217000,316.141000,81.166500,101.492000,112.299000,484.220000,74.727400,104.936000,276.780000,145.749000,146.499000,96.163800,216.650000,45.358200,259.196000,142.724000,166.100000,169.096000,35.758100,77.601900,251.799000,69.657300,502.110000,131.732000,155.387000,545.980000,139.026000,50.967700,56.820600,160.173000,324.349000,131.754000,222.460000,254.344000,72.080400,367.442000,207.850000,334.710000,36.411400,150.000000,91.175400,12.910800,221.997000,168.396000,42.717500,59.366500,39.109300,37.395800,72.333000,115.287000,66.640800,373.972000,62.398700,67.475300,160.491000,42.049400,169.064000,44.386500,271.360000,34.532500,177.300000,28.773300,226.882000,196.099000,139.494000,153.142000,55.453700,138.681000,213.333000,55.888500,251.186000,203.394000,161.889000,87.936000,45.916700,43.033200,635.830000,2185.400000,145.872000,57.741200,82.905900,18.780800,342.950000,29.085600,110.718000,307.328000,460.910000,125.121000,17.072300,685.257000,221.566000
2020-12-30,180.615000,232.680000,94.452200,83.822500,248.410000,86.499000,39.577400,64.006500,92.290000,118.541000,318.226000,80.879200,101.817000,112.787000,478.300000,74.371100,105.015000,271.870000,146.293000,148.314000,96.682600,214.286000,46.434300,260.745000,144.119000,164.292000,167.966000,35.766700,78.262300,254.083000,71.355400,497.450000,130.618000,155.407000,547.380000,139.035000,51.260400,56.774700,157.520000,322.156000,131.132000,222.400000,253.452000,71.344600,369.146000,211.720000,334.964000,37.288800,148.430000,90.912900,13.112300,231.593000,167.380000,44.376200,59.298500,39.344200,37.694400,72.890200,116.537000,67.589500,371.232000,62.341300,68.453800,159.311000,41.898200,172.309000,43.811700,271.770000,34.244700,181.170000,28.744800,228.801000,197.594000,139.386000,154.581000,55.952300,141.117000,213.607000,55.758200,250.967000,202.303000,162.316000,86.976000,45.877700,43.447100,638.225000,2205.260000,146.861000,58.211300,85.572900,18.747900,351.752000,29.411500,110.787000,307.051000,459.781000,124.195000,17.736300,677.152000,219.391000
2020-12-31,182.114000,236.340000,95.254800,84.747900,252.497000,87.315400,39.851000,64.658000,91.710000,120.153000,323.240000,81.623700,102.808000,114.183000,483.110000,75.566800,106.036000,273.160000,148.918000,149.570000,98.418600,215.000000,45.266800,263.586000,146.419000,162.846000,170.532000,35.994100,77.454700,255.765000,74.589300,500.120000,129.613000,155.357000,550.430000,138.928000,51.636200,57.520500,159.568000,327.453000,132.444000,222.530000,253.796000,72.417400,371.447000,212.080000,335.739000,37.270500,146.800000,92.287600,13.021600,235.223000,169.688000,43.770200,59.231500,40.052800,37.350100,74.079600,117.987000,68.159100,375.487000,62.620600,68.597400,161.384000,42.151600,174.212000,44.774300,272.700000,34.310000,181.180000,29.061000,230.376000,199.735000,140.347000,155.942000,56.709400,142.596000,216.188000,56.210600,254.549000,205.185000,164.079000,87.594000,45.867700,43.862000,649.572000,2227.270000,148.787000,58.780000,84.905000,18.925700,353.128000,29.548200,112.215000,313.937000,463.815000,125.774000,17.141900,690.484000,220.847000
2021-01-04,178.050000,229.430000,91.794300,83.036200,253.732000,85.994800,38.701800,64.468600,92.300000,119.033000,327.689000,80.498000,99.057100,112.435000,482.860000,74.388600,105.669000,268.940000,145.011000,148.755000,96.820900,210.429000,45.817100,262.206000,142.734000,159.332000,171.596000,35.854000,77.692700,251.206000,73.467900,485.340000,126.410000,155.229000,526.830000,137.579000,49.676800,56.103100,155.210000,326.361000,131.181000,220.310000,252.176000,71.673200,374.765000,211.132000,325.947000,36.878100,139.150000,90.653300,13.080400,243.257000,162.715000,43.760600,58.610000,39.344200,37.603900,71.267700,115.187000,66.072700,367.436000,61.712400,65.643800,160.570000,41.744100,174.322000,44.639500,266.670000,34.310000,177.680000,28.793000,226.338000,194.754000,136.513000,154.128000,54.797700,140.959000,213.128000,55.681100,249.916000,201.006000,160.820000,86.412000,46.623700,43.419700,639.917000,2164.080000,144.737000,58.163000,85.464800,19.372900,347.745000,28.649600,111.161000,311.487000,469.845000,124.439000,17.281100,669.569000,221.935000
2021-01-05,178.486000,228.580000,91.937400,83.072200,259.407000,86.688200,38.964200,65.563500,92.770000,119.671000,322.963000,80.679700,99.391200,114.427000,483.450000,75.201600,106.987000,270.970000,145.575000,150.491000,97.820300,210.623000,47.400700,268.710000,146.508000,160.926000,174.241000,35.783900,79.793700,255.132000,76.652900,485.690000,127.957000,155.763000,531.970000,138.688000,49.131600,57.557800,153.045000,321.972000,132.010000,221.520000,254.207000,71.798000,370.430000,207.984000,329.892000,38.993400,148.300000,90.485600,13.371100,245.037000,162.252000,47.324200,58.358500,39.788300,39.416600,71.795400,115.813000,67.969000,364.625000,60.946700,66.591900,161.929000,41.763700,175.762000,45.483900,268.350000,34.664300,178.440000,29.012900,228.535000,197.150000,136.925000,155.271000,55.157200,143.483000,214.164000,55.739400,251.344000,202.225000,161.632000,87.046000,46.373000,43.559700,643.297000,2188.070000,144.855000,58.324600,88.149800,19.255100,343.707000,29.135100,112.047000,308.083000,475.706000,124.576000,19.023700,668.592000,227.414000
2021-01-06,181.746000,226.650000,89.758900,84.146200,273.411000,85.832800,38.723400,69.516300,90.330000,125.291000,323.370000,78.513300,100.118000,117.277000,470.090000,75.302800,106.769000,263.310000,141.668000,151.923000,96.976900,205.161000,47.589000,284.461000,145.318000,156.919000,182.502000,36.363400,82.359800,263.526000,76.503500,466.310000,123.670000,157.830000,507.250000,139.790000,47.568700,60.869400,152.597000,335.471000,133.401000,216.150000,255.660000,72.931200,364.771000,206.159000,329.166000,40.549300,142.770000,92.202800,12.582300,251.993000,161.699000,48.326600,57.546500,42.478900,40.421300,75.310200,120.091000,71.691600,356.843000,60.801100,67.417300,167.375000,42.161400,185.528000,45.924000,264.260000,34.365800,179.120000,30.825700,235.937000,201.278000,135.248000,156.020000,56.507300,144.124000,219.326000,55.633700,254.092000,201.762000,159.691000,86.764500,46.665700,46.140500,661.650000,2249.810000,151.740000,58.465600,89.360700,19.629100,343.837000,29.909700,113.879000,321.014000,483.173000,123.914000,19.806000,646.761000,234.960000
2021-01-07,182.051000,232.900000,91.105300,83.202500,279.253000,88.396600,40.355800,70.706400,95.160000,129.407000,323.578000,78.083700,99.303300,117.013000,481.200000,75.740100,107.790000,268.740000,142.630000,152.423000,98.006600,210.996000,49.310200,293.657000,149.644000,158.108000,184.608000,36.679100,82.745000,262.755000,78.488400,477.740000,127.869000,158.462000,511.410000,142.338000,47.041200,61.588000,150.667000,340.864000,132.158000,217.980000,254.414000,74.382700,362.708000,207.314000,323.987000,41.659700,151.270000,92.740800,13.311100,272.013000,162.607000,51.449400,60.518500,42.732400,40.739200,76.136200,119.137000,71.122000,364.386000,61.286500,66.937800,170.351000,42.693600,185.883000,46.903200,269.400000,34.542300,178.580000,31.506300,242.260000,204.058000,134.807000,159.569000,56.441200,150.219000,220.039000,55.528000,256.483000,202.686000,161.146000,89.362500,46.662700,47.062500,675.566000,2239.850000,150.664000,59.092400,93.029400,19.683200,346.569000,30.616000,113.731000,329.865000,498.229000,122.754000,20.370500,656.435000,238.283000
2021-01-08,179.836000,237.000000,92.329400,83.350100,277.762000,89.566800,40.560600,70.997800,94.580000,129.545000,321.404000,78.608100,101.531000,116.593000,498.730000,75.840400,108.097000,267.570000,144.117000,152.109000,98.526500,212.294000,48.081800,287.936000,150.558000,159.135000,187.026000,36.512200,83.535100,262.448000,76.812200,485.100000,128.982000,159.758000,529.640000,143.717000,48.095300,60.980000,150.081000,339.324000,132.099000,222.040000,257.113000,73.506900,364.691000,208.905000,317.874000,41.659700,149.770000,92.506200,13.243200,293.340000,164.727000,51.670700,61.091500,42.280500,41.191500,77.903600,119.257000,71.565700,370.743000,61.588500,67.014400,169.051000,42.787900,185.912000,46.418200,272.920000,34.607700,178.690000,31.189100,246.317000,209.914000,136.425000,162.633000,56.837800,151.304000,224.253000,55.940900,257.435000,206.414000,161.722000,90.360500,46.656000,46.431200,681.003000,2281.540000,150.220000,59.214600,94.014100,19.435100,350.506000,31.205500,114.676000,329.578000,510.129000,122.910000,19.884400,669.480000,242.055000
